card	lapses
w-2232	1
w-2234	1
w-2235	1
w-2236	1
w-2237	1
w-2238	1
w-2239	1
w-2241	1
w-2242	1
w-2243	1
w-2244	1
w-2245	1
w-2246	1
w-2248	1
w-2249	1
w-2250	1
w-2251	1
w-2252	1
w-2253	1
w-2255	1
w-2256	1
w-2257	1
w-2258	1
w-2259	1
w-2260	1
w-2262	1
w-2263	1
w-2264	1
w-2265	1
w-2266	1
w-2267	1
w-2269	1
w-2270	1
w-2271	1
w-2272	1
w-2273	1
w-2274	1
w-2276	1
w-2277	1
w-2278	1
w-2279	1
w-2280	1
w-2281	1
w-2283	1
w-2284	1
w-2285	1
w-2286	1
w-2287	1
w-2288	1
w-2290	1
w-2291	1
w-2292	1
w-2293	1
w-2294	1
w-2295	1
w-2297	1
w-2298	1
w-2299	1
w-2300	1
w-2301	1
w-2302	1
w-2304	1
w-2305	1
w-2306	1
w-2307	1
w-2308	1
w-2309	1
w-2311	1
w-2312	1
w-2313	1
w-2314	1
w-2315	1
w-2316	1
w-2318	1
w-2319	1
w-2320	1
w-2321	1
w-2322	1
w-2323	1
w-2325	1
w-2326	1
w-2327	1
w-2328	1
w-2329	1
w-2330	1
w-2332	1
w-2333	1
w-2334	1
w-2335	1
w-2336	1
w-2337	1
w-2338	1
w-2339	1
w-2341	1
